;year	step	area	lgr	number
2009	1	allareas	len41-42	18161
2009	1	allareas	len43-44	9062
2009	1	allareas	len45-46	6809
2009	1	allareas	len47-48	6009
2009	1	allareas	len49-50	3307
2009	1	allareas	len51-52	2483
2009	1	allareas	len53-54	1295
2010	1	allareas	len19-20	4669
2010	1	allareas	len21-22	6713
2010	1	allareas	len23-24	11783
2010	1	allareas	len25-26	17446
2010	1	allareas	len27-28	38056
2010	1	allareas	len29-30	62319
2010	1	allareas	len31-32	142154
2010	1	allareas	len33-34	224517
2010	1	allareas	len35-36	203764
2010	1	allareas	len37-38	100970
2010	1	allareas	len39-40	48055
2010	1	allareas	len41-42	18480
2010	1	allareas	len43-44	10905
2010	1	allareas	len45-46	9191
2010	1	allareas	len47-48	8251
2010	1	allareas	len49-50	3120
2010	1	allareas	len51-52	3166
2010	1	allareas	len53-54	1254
2011	1	allareas	len19-20	3433
2011	1	allareas	len21-22	4893
2011	1	allareas	len23-24	8909
2011	1	allareas	len25-26	11845
2011	1	allareas	len27-28	18615
2011	1	allareas	len29-30	41366
2011	1	allareas	len31-32	121527
2011	1	allareas	len33-34	200307
2011	1	allareas	len35-36	209857
2011	1	allareas	len37-38	117802
2011	1	allareas	len39-40	43517
2011	1	allareas	len41-42	23770
2011	1	allareas	len43-44	13774
2011	1	allareas	len45-46	11101
2011	1	allareas	len47-48	10867
2011	1	allareas	len49-50	9111
2011	1	allareas	len51-52	4503
2011	1	allareas	len53-54	1731
2012	1	allareas	len19-20	2827
2012	1	allareas	len21-22	4162
2012	1	allareas	len23-24	5255
2012	1	allareas	len25-26	8127
2012	1	allareas	len27-28	13382
2012	1	allareas	len29-30	25723
2012	1	allareas	len31-32	73386
2012	1	allareas	len33-34	228149
2012	1	allareas	len35-36	271793
2012	1	allareas	len37-38	148224
2012	1	allareas	len39-40	60027
2012	1	allareas	len41-42	23246
2012	1	allareas	len43-44	12611
2012	1	allareas	len45-46	7138
2012	1	allareas	len47-48	6265
2012	1	allareas	len49-50	5098
2012	1	allareas	len51-52	3011
2012	1	allareas	len53-54	1264
2013	1	allareas	len19-20	3366
2013	1	allareas	len21-22	5069
2013	1	allareas	len23-24	9037
2013	1	allareas	len25-26	13836
2013	1	allareas	len27-28	21202
2013	1	allareas	len29-30	30417
2013	1	allareas	len31-32	74911
2013	1	allareas	len33-34	192948
2013	1	allareas	len35-36	245726
2013	1	allareas	len37-38	152780
2013	1	allareas	len39-40	77197
2013	1	allareas	len41-42	29362
2013	1	allareas	len43-44	13521
2013	1	allareas	len45-46	6852
2013	1	allareas	len47-48	6143
2013	1	allareas	len49-50	5340
2013	1	allareas	len51-52	4134
2013	1	allareas	len53-54	2186
2014	1	allareas	len19-20	1802
2014	1	allareas	len21-22	4383
2014	1	allareas	len23-24	7533
2014	1	allareas	len25-26	13347
2014	1	allareas	len27-28	18136
2014	1	allareas	len29-30	28936
2014	1	allareas	len31-32	58627
2014	1	allareas	len33-34	150404
2014	1	allareas	len35-36	235359
2014	1	allareas	len37-38	156625
2014	1	allareas	len39-40	83989
2014	1	allareas	len41-42	43564
2014	1	allareas	len43-44	22676
2014	1	allareas	len45-46	15753
2014	1	allareas	len47-48	8998
2014	1	allareas	len49-50	4792
2014	1	allareas	len51-52	2148
2014	1	allareas	len53-54	1066
